r_object_id,ddm_vertical_users
0b02cba0829a3f8a,
0b02cba0829a3f8a,
0b02cba0829a3f8a,
0b02cba0829a3f8a,
0b02cba0829a3f8a,
0b02cba0829a3f8a,
0b02cba0829a3f8a,
0b02cba0829a3f8a,
0b02cba0829a4702,
0b02cba0829a4702,
0b02cba0829a4702,
0b02cba0829a4702,
0b02cba0829a4702,
0b02cba0829a4702,
0b02cba0829a4707,
0b02cba0829a4707,
0b02cba0829a4707,
0b02cba0829a4707,
0b02cba0829a4707,
0b02cba0829a4707,
0b02cba0829a4707,
0b02cba0829a470e,
0b02cba0829a470e,
0b02cba0829a470e,
0b02cba0829a470e,
0b02cba0829a470e,
0b02cba0829a470e,
0b02cba0829a4713,
0b02cba0829a4713,
0b02cba0829a4713,
0b02cba0829a4713,
0b02cba0829a4713,
0b02cba0829a4713,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829b71ab,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4c86,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba0829c4f7b,
0b02cba082991b00,
0b02cba082991b00,
0b02cba0829a3f89,
0b02cba0829a3f89,
0b02cba0829a3f89,
0b02cba0829a3f89,
0b02cba0829a3f89,
0b02cba0829a3f89,
0b02cba0829a4701,
0b02cba0829a4701,
0b02cba0829a4701,
0b02cba0829a4701,
0b02cba0829a4701,
0b02cba0829a4701,
0b02cba0829a4703,
0b02cba0829a4703,
0b02cba0829a4703,
0b02cba0829a4703,
0b02cba0829a4703,
0b02cba0829a4703,
0b02cba0829a4708,
0b02cba0829a4708,
0b02cba0829a4708,
0b02cba0829a4708,
0b02cba0829a4708,
0b02cba0829a4708,
0b02cba0829a4711,
0b02cba0829a4711,
0b02cba0829a4711,
0b02cba0829a4711,
0b02cba0829a4711,
0b02cba0829a4711,
0b02cba0829a3f8b,
0b02cba0829a3f8b,
0b02cba0829a3f8b,
0b02cba0829a3f8b,
0b02cba0829a3f8b,
0b02cba0829a3f8b,
0b02cba0829a3f8b,
0b02cba0829a4704,
0b02cba0829a4704,
0b02cba0829a4704,
0b02cba0829a4704,
0b02cba0829a4704,
0b02cba0829a4704,
0b02cba0829a4706,
0b02cba0829a4706,
0b02cba0829a4706,
0b02cba0829a4706,
0b02cba0829a4706,
0b02cba0829a4706,
0b02cba0829a470a,
0b02cba0829a470a,
0b02cba0829a470a,
0b02cba0829a470a,
0b02cba0829a470a,
0b02cba0829a470a,
0b02cba0829a470a,
0b02cba0829a470c,
0b02cba0829a470c,
0b02cba0829a470c,
0b02cba0829a470c,
0b02cba0829a470c,
0b02cba0829a470c,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4715,
0b02cba0829a4718,
0b02cba0829a4718,
0b02cba0829a4718,
0b02cba0829a4718,
0b02cba0829a4718,
0b02cba0829a4718,
0b02cba0829a4718,
0b02cba0829a4719,
0b02cba0829a4719,
0b02cba0829a4719,
0b02cba0829a4719,
0b02cba0829a4719,
0b02cba0829a4719,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a3f8c,
0b02cba0829a3f8c,
0b02cba0829a3f8c,
0b02cba0829a3f8c,
0b02cba0829a3f8c,
0b02cba0829a3f8c,
0b02cba0829a4700,
0b02cba0829a4700,
0b02cba0829a4700,
0b02cba0829a4700,
0b02cba0829a4700,
0b02cba0829a4700,
0b02cba0829a4705,
0b02cba0829a4705,
0b02cba0829a4705,
0b02cba0829a4705,
0b02cba0829a4705,
0b02cba0829a4705,
0b02cba0829a4709,
0b02cba0829a4709,
0b02cba0829a4709,
0b02cba0829a4709,
0b02cba0829a4709,
0b02cba0829a4709,
0b02cba0829a470b,
0b02cba0829a470b,
0b02cba0829a470b,
0b02cba0829a470b,
0b02cba0829a470b,
0b02cba0829a470b,
0b02cba0829a470d,
0b02cba0829a470d,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829b7683,
0b02cba0829b7683,
0b02cba0829b7683,
0b02cba0829b7683,
0b02cba0829b7683,
0b02cba0829a4712,
0b02cba0829a4712,
0b02cba0829a4712,
0b02cba0829a4712,
0b02cba0829a4712,
0b02cba0829a4712,
0b02cba0829a4717,
0b02cba0829a4717,
0b02cba0829a4717,
0b02cba0829a4717,
0b02cba0829a4717,
0b02cba0829a4717,
0b02cba0829a471c,
0b02cba0829a471c,
0b02cba0829a471c,
0b02cba0829a471c,
0b02cba0829a471c,
0b02cba0829a471c,
0b02cba0829a471e,
0b02cba0829a471e,
0b02cba0829a471e,
0b02cba0829a471e,
0b02cba0829a471e,
0b02cba0829a471e,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829c3caa,
0b02cba0829a470d,
0b02cba0829a470d,
0b02cba0829a470d,
0b02cba0829a470d,
0b02cba0829a470f,
0b02cba0829a470f,
0b02cba0829a470f,
0b02cba0829a470f,
0b02cba0829a470f,
0b02cba0829a470f,
0b02cba0829a470f,
0b02cba0829a4710,
0b02cba0829a4710,
0b02cba0829a4710,
0b02cba0829a4710,
0b02cba0829a4710,
0b02cba0829a4710,
0b02cba0829a4714,
0b02cba0829a4714,
0b02cba0829a4714,
0b02cba0829a4714,
0b02cba0829a4714,
0b02cba0829a4714,
0b02cba0829a4716,
0b02cba0829a4716,
0b02cba0829a4716,
0b02cba0829a4716,
0b02cba0829a4716,
0b02cba0829a4716,
0b02cba0829a471a,
0b02cba0829a471a,
0b02cba0829a471a,
0b02cba0829a471a,
0b02cba0829a471a,
0b02cba0829a471a,
0b02cba0829a471d,
0b02cba0829a471d,
0b02cba0829a471d,
0b02cba0829a471d,
0b02cba0829a471d,
0b02cba0829a471d,
0b02cba0829a471d,
